                original          NewStemmer
979       amazingmagical        amazingmagic
980        Unforgettable            Unforget
981             playlist            playlist
982             conclude            conclude
983                 will                will
984                 come                come
985                 back                back
986                loved                love
987                Chefs                Chef
988              dinners              dinner
989                loved                love
990               Martas               Marta
991              massage             massage
992            Fantastic           Fantastic
993              refugee             refugee
994                close               close
995               Lisbon              Lisbon
996              enjoyed               enjoy
997                 room                room
998                 view                view
999             playlist            playlist
1000            kindness                kind
1001          exceptions              except
1002                will                will
1003                come                come
1004                back                back
1005                sure                sure
1006              Please              Please
1007                tell                tell
1008            Leonardo            Leonardo
1009                keep                keep
1010       experimenting              expery
1011                food                food
1012              artist              artist
1013                food                food
1014               Thank               Thank
1015           wonderful              wonder
1016          experience          experience
1017           fantastic             fantast
1018        introduction           introduct
1019            Portugal              Portug
1020              entire              entire
1021          experience          experience
1022             magical               magic
1023                room                room
1024              ground              ground
1025                food                food
1026                wait                wait
1027              return              return
1028     Congratulations           Congratul
1029             amazing               amaze
1030               place               place
1031           excellent               excel
1032             service             service
1033               great               great
1034          experience          experience
1035                cozy                cozy
1036            familiar            familiar
1037             service             service
1038              chosen               chose
1039            playlist            playlist
1040               doubt               doubt
1041          experience          experience
1042              repeat              repeat
1043           Greetings               Greet
1044      ecosustainable          ecosustain
1045              hotels               hotel
1046                know                know
1047                 one                 one
1048             without             without
1049              doubts               doubt
1050                best                best
1051                 eco                 eco
1052            familiar            familiar
1053             fitting                 fit
1054           perfectly             perfect
1055              nature              nature
1056               since               since
1057                food                food
1058              entire              entire
1059               place               place
1060     Congratulations           Congratul
1061                good                good
1062                luck                luck
1063             spoiled               spoil
1064        surroundings            surround
1065              people              people
1066               place               place
1067                come                come
1068                back                back
1069            remember            remember
1070                Dear                Dear
1071                 Now                 Now
1072             sitting                 sit
1073           beautiful              beauty
1074               place               place
1075                last                last
1076           breakfast           breakfast
1077                 now                 now
1078            remember            remember
1079                last                last
1080                days                 day
1081                want                want
1082                 say                 say
1083               Thank               Thank
1084                warm                warm
1085              caring                 car
1086         hospitality            hospital
1087               every               every
1088              moment              moment
1089                stay                stay
1090                will                will
1091            remember            remember
1092                wish                wish
1093                best                best
1094                Hope                Hope
1095                 see                 see
1096                love                love
1097             passion             passion
1098                made                make
1099                stay                stay
1100           wonderful              wonder
1101                look                look
1102             forward             forward
1103              return              return
1104                June                June
1105             Despite             Despite
1106               short               short
1107                stay                stay
1108           fantastic             fantast
1109               hotel               hotel
1110              proved               prove
1111               value               value
1112                 spa                 spa
1113                dcor                dcor
1114                 see                 see
1115             quality             quality
1116               every               every
1117                 day                 day
1118                will                will
1119                come                come
1120                back                back
1121                soon                soon
1122               enjoy               enjoy
1123                even                 eve
1124              better              better
1125             flavors              flavor
1126          sensations             sensate
1127                Also                Also
1128                kind                kind
1129                cozy                cozy
1130            peoplewe            peoplewe
1131                also                also
1132                want                want
1133                come                come
1134                back                back
1135                soon                soon
1136                stay                stay
1137            pleasant            pleasant
1138               hotel               hotel
1139               focus                focu
1140          excellence               excel
1141               since               since
1142               bread               bread
1143                dcor                dcor
1144               think               think
1145               Areas                Area
1146               Seixo               Seixo
1147         complements          complement
1148             perfect             perfect
1149         combination              combin
1150               charm               charm
1151         picturesque         picturesque
1152             Daniela             Daniela
1153                make                make
1154               place               place
1155                cozy                cozy
1156            relaxing               relax
1157               place               place
1158             special             special
1159               thank               thank
1160               staff               staff
1161              served                serv
1162              cooked                cook
1163              dinner              dinner
1164            Gilberto            Gilberto
1165                make                make
1166               place               place
1167                cozy                cozy
1168            relaxing               relax
1169               place               place
1170            probably              probab
1171           beautiful              beauty
1172               hotel               hotel
1173              stayed                stay
1174                 far                 far
1175               loved                love
1176                view                view
1177        architecture        architecture
1178             concept             concept
1179              people              people
1180              looked                look
1181             service             service
1182            kindness                kind
1183       unforgettable            unforget
1184               Thank               Thank
1185             stories               story
1186               loved                love
1187                wind                wind
1188               sound               sound
1189             rooster             rooster
1190                Hope                Hope
1191                come                come
1192                back                back
1193                 one                 one
1194                 day                 day
1195              family                famy
1196            singular            singular
1197              unique              unique
1198               hotel               hotel
1199            original              origin
1200            tasteful               taste
1201          gastronomy          gastronomy
1202           Fantastic           Fantastic
1203                room                room
1204            original              origin
1205        personalized              person
1206         environment         environment
1207                best                best
1208            paradise            paradise
1209              places               place
1210             magical               magic
1211               place               place
1212                full                full
1213             symbols              symbol
1214             special             special
1215             touches               touch
1216               makes                make
1217                feel                feel
1218                calm                calm
1219              serene              serene
1220        personalized              person
1221           treatment           treatment
1222             details              detail
1223               taken                take
1224                next                next
1225               level               level
1226                feel                feel
1227               place               place
1228                home                home
1229              belong              belong
1230                feel                feel
1231               alive               alive
1232               loved                love
1233           Beautiful              Beauty
1234                cozy                cozy
1235            romantic            romantic
1236           brilliant           brilliant
1237             special             special
1238               tasty               tasty
1239                warm                warm
1240                full                full
1241           Excellent           Excellent
1242               place               place
1243            kindness                kind
1244                nice                nice
1245              people              people
1246             Magnify             Magnify
1247               loved                love
1248               Every               Every
1249              single              single
1250              detail              detail
1251               space               space
1252                dcor                dcor
1253             amazing               amaze
1254               staff               staff
1255            Congrats             Congrat
1256                team                team
1257                want                want
1258                come                come
1259                back                back
1260           excellent               excel
1261               Areas                Area
1262               Seixo               Seixo
1263            paradise            paradise
1264               close               close
1265                home                home
1266               found               found
1267               place               place
1268          excellence               excel
1269               peace               peace
1270                calm                calm
1271                 lot                 lot
1272             quality             quality
1273             Magical               Magic
1274             placeso             placeso
1275            relaxing               relax
1276           transport           transport
1277             another             another
1278           dimension              dimens
1279               loved                love
1280               every               every
1281              single              single
1282              detail              detail
1283     Congratulations           Congratul
1284                will                will
1285                come                come
1286                back                back
1287           recommend           recommend
1288           beautiful              beauty
1289                come                come
1290                back                back
1291            paradise            paradise
1292             enjoyed               enjoy
1293         Considering            Consider
1294               every               every
1295            tasteful               taste
1296              detail              detail
1297             wealthy             wealthy
1298               enjoy               enjoy
1299              senses               sense
1300              unique              unique
1301          experience          experience
1302                nice                nice
1303               place               place
1304                rest                rest
1305                stay                stay
1306             forever             forever
1307             rebuilt             rebuilt
1308             harmony             harmony
1309              nature              nature
1310              others               other
1311              picnic              picnic
1312             private             private
1313               beach               beach
1314           fantastic             fantast
1315                food                food
1316             enjoyed               enjoy
1317           sanctuary           sanctuary
1318             amazing               amaze
1319               hotel               hotel
1320               great               great
1321                food                food
1322               great               great
1323               views                view
1324             totally             totally
1325             relaxed              relaxe
1326                 gem                 gem
1327              middle              middle
1328             nowhere             nowhere
1329             relaxed              relaxe
1330               staff               staff
1331               knows                know
1332                make                make
1333                feel                feel
1334                home                home
1335               great               great
1336              design              design
1337               loved                love
1338           infusions               infus
1339            prepared              prepar
1340               fresh               fresh
1341                herb                herb
1342              garden               garde
1343                Nice                Nice
1344                know                know
1345               close               close
1346              Lisbon              Lisbon
1347             magical               magic
1348               place               place
1349             spoiled               spoil
1350        surroundings            surround
1351              people              people
1352               place               place
1353                come                come
1354                back                back
1355            remember            remember
1356                stay                stay
1357           fantastic             fantast
1358          experience          experience
1359               whole               whole
1360          atmosphere          atmosphere
1361         hospitality            hospital
1362            kindness                kind
1363         outstanding            outstand
1364                love                love
1365              opened                 ope
1366                eyes                 eye
1367                 new                 new
1368                life                life
1369           certainly             certain
1370            consider            consider
1371                stay                stay
1372                time                time
1373              lovely              lovely
1374             scenery             scenery
1375               Thank               Thank
1376               grace               grace
1377                love                love
1378             passion             passion
1379                made                make
1380                stay                stay
1381           wonderful              wonder
1382                look                look
1383             forward             forward
1384              return              return
1385                June                June
1386             turnips              turnip
1387           buckwheat           buckwheat
1388               empty               empty
1389             matured               matur
1390           Wonderful              Wonder
1391                stay                stay
1392                Nice                Nice
1393                hand                hand
1394           beautiful              beauty
1395               place               place
1396              Tastes               Taste
1397             flavors              flavor
1398          sensations             sensate
1399                Also                Also
1400                kind                kind
1401                cozy                cozy
1402            peoplewe            peoplewe
1403                also                also
1404                want                want
1405                come                come
1406                back                back
1407                soon                soon
1408             turnips              turnip
1409           buckwheat           buckwheat
1410               empty               empty
1411             matured               matur
1412           Wonderful              Wonder
1413                stay                stay
1414               hotel               hotel
1415              rivals               rival
1416           wonderful              wonder
1417               hotel               hotel
1418              across              across
1419               world               world
1420            Fabulous               Fabul
1421          experience          experience
1422              levels               level
1423            singular            singular
1424              unique              unique
1425               hotel               hotel
1426            original              origin
1427            tasteful               taste
1428          gastronomy          gastronomy
1429           Fantastic           Fantastic
1430                room                room
1431            original              origin
1432        personalized              person
1433         environment         environment
1434                best                best
1435            paradise            paradise
1436              places               place
1437                food                food
1438               tasty               tasty
1439              unique              unique
1440        presentation             present
1441            Congrats             Congrat
1442                will                will
1443           recommend           recommend
1444          restaurant          restaurant
1445             friends              friend
1446            Fabulous               Fabul
1447            fabulous               fabul
1448                stay                stay
1449                will                will
1450                back                back
1451                sure                sure
1452                 one                 one
1453                time                time
1454            surprise            surprise
1455                room                room
1456         environment         environment
1457             service             service
1458               loved                love
1459                will                will
1460           recommend           recommend
1461                hope                hope
1462                come                come
1463                back                back
1464                good                good
1465              hotels               hotel
1466           excellent               excel
1467               Areas                Area
1468               Seixo               Seixo
1469            paradise            paradise
1470             Amazing               Amaze
1471              little              little
1472            paradise            paradise
1473             Looking                Look
1474             forward             forward
1475                next                next
1476               visit               visit
1477                will                will
1478                pass                pass
1479             message             message
1480             quality             quality
1481                full                full
1482            elements             element
1483                give                give
1484             magical               magic
1485             feeling                feel
1486           wonderful              wonder
1487               place               place
1488           beautiful              beauty
1489                come                come
1490                back                back
1491              Thanks               Thank
1492                much                much
1493              lovely              lovely
1494          experience          experience
1495           wonderful              wonder
1496               place               place
1497             amazing               amaze
1498            relaxing               relax
1499                stay                stay
1500               Loved                Love
1501                tree                tree
1502                room                room
1503              picnic              picnic
1504             private             private
1505               beach               beach
1506           fantastic             fantast
1507                food                food
1508                also                also
1509               conga               conga
1510                Chef                Chef
1511                team                team
1512          gastronomy          gastronomy
1513          experience          experience
1514             tasting                tast
1515                menu                menu
1516                fact                fact
1517                stay                stay
1518               hotel               hotel
1519                 try                 try
1520            delights             delight
1521                sure                sure
1522          experience          experience
1523                stay                stay
1524                stay                stay
1525               every               every
1526              single              single
1527              moment              moment
1528              unique              unique
1529          experience          experience
1530            arriving              arrive
1531            paradise            paradise
1532                went                went
1533             several               sever
1534              phases               phase
1535         enchantment             enchant
1536            relaxing               relax
1537            peaceful               peace
1538                feel                feel
1539                till                till
1540               conga               conga
1541                kind                kind
1542         exceptional              except
1543               staff               staff
1544              detail              detail
1545              making                 mak
1546             weekend             weekend
1547               dream               dream
1548                come                come
1549                true                true
1550                Dear                Dear
1551                stay                stay
1552           fantastic             fantast
1553          experience          experience
1554               whole               whole
1555          atmosphere          atmosphere
1556         hospitality            hospital
1557            kindness                kind
1558         outstanding            outstand
1559                love                love
1560              opened                 ope
1561                eyes                 eye
1562                 new                 new
1563                life                life
1564           certainly             certain
1565            consider            consider
1566                stay                stay
1567                time                time
1568              lovely              lovely
1569             scenery             scenery
1570       Extraordinary       Extraordinary
1571              dinner              dinner
1572              dishes                dish
1573                will                will
1574                stay                stay
1575                long                long
1576              memory              memory
1577                pate                pate
1578             cabbage             cabbage
1579             turnips              turnip
1580           buckwheat           buckwheat
1581               empty               empty
1582             matured               matur
1583           Wonderful              Wonder
1584                stay                stay
1585       Extraordinary       Extraordinary
1586              dinner              dinner
1587              dishes                dish
1588                will                will
1589                stay                stay
1590                long                long
1591              memory              memory
1592                pate                pate
1593             cabbage             cabbage
1594             turnips              turnip
1595           buckwheat           buckwheat
1596               empty               empty
1597             matured               matur
1598           Wonderful              Wonder
1599                stay                stay
1600              places               place
1601                full                full
1602            positive               posit
1603            feelings                feel
1604            energies              energy
1605                feel                feel
1606              belong              belong
1607            greatest              greate
1608           challenge           challenge
1609                give                give
1610             amazing               amaze
1611               place               place
1612            Leonardo            Leonardo
1613             Pereira             Pereira
1614                team                team
1615            congrats             congrat
1616                food                food
1617               tasty               tasty
1618              unique              unique
1619        presentation             present
1620            Congrats             Congrat
1621                will                will
1622           recommend           recommend
1623          restaurant          restaurant
1624             friends              friend
1625          Highlights           Highlight
1626          restaurant          restaurant
1627            congrats             congrat
1628              Miguel              Miguel
1629           excellent               excel
1630                host                host
1631                 SPA                 SPA
1632              worthy              worthy
1633               third               third
1634                time                time
1635               Areas                Area
1636               Seixo               Seixo
1637                 one                 one
1638                time                time
1639            surprise            surprise
1640                room                room
1641         environment         environment
1642             service             service
1643                 big                 big
1644               thank               thank
1645                Chef                Chef
1646            Leonardo            Leonardo
1647                team                team
1648           delicious           delicious
1649            romantic            romantic
1650              dinner              dinner
1651           excellent               excel
1652          experience          experience
1653                hope                hope
1654              repeat              repeat
1655                soon                soon
1656                best                best
1657             regards              regard
1658               Areas                Area
1659               Seixo               Seixo
1660                team                team
1661             kitchen              kitche
1662                 one                 one
1663            elements             element
1664     Congratulations           Congratul
1665            boldness                bold
1666             project             project
1667             quality             quality
1668                full                full
1669            elements             element
1670                give                give
1671             magical               magic
1672             feeling                feel
1673            pleasant            pleasant
1674                Nice                Nice
1675             weekend             weekend
1676              repeat              repeat
1677             Enjoyed               Enjoy
1678                 lot                 lot
1679                Hope                Hope
1680                come                come
1681                back                back
1682          Innovating            Innovate
1683             concept             concept
1684           fantastic             fantast
1685                 big                 big
1686               thank               thank
1687           wonderful              wonder
1688             weekend             weekend
1689               stars                star
1690             service             service
1691             Magnify             Magnify
1692          Absolutely            Absolute
1693            divinely              divine
1694              Thanks               Thank
1695               every               every
1696              single              single
1697              moment              moment
1698              detail              detail
1699              making                 mak
1700             weekend             weekend
1701               dream               dream
1702                come                come
1703                true                true
1704                sure                sure
1705               Thank               Thank
1706            kindness                kind
1707               third               third
1708                time                time
1709            received              receiv
1710               Thank               Thank
1711             moments              moment
1712             provide             provide
1713          Suggestion             Suggest
1714          restaurant          restaurant
1715               match               match
1716               hotel               hotel
1717            previous             previou
1718                 one                 one
1719                best                best
1720            opposite            opposite
1721            previous             previou
1722             opinion             opinion
1723               think               think
1724          restaurant          restaurant
1725             perfect             perfect
1726     congratulations           congratul
1727           braveness               brave
1728             magnify             magnify
1729             cuisine             cuisine
1730               first               first
1731                time                time
1732               loved                love
1733                will                will
1734                come                come
1735                back                back
1736                sure                sure
1737                Days                 Day
1738                rest                rest
1739                calm                calm
1740                cozy                cozy
1741         environment         environment
1742                many                many
1743             details              detail
1744               makes                make
1745          difference              differ
1746              stayed                stay
1747                Seem                Seem
1748                hora                hora
1749              maraca              maraca
1750                room                room
1751               hours                hour
1752               spent               spent
1753           memorable               memor
1754             endless             endless
1755                rest                rest
1756          imperative          imperative
1757              scarce              scarce
1758               daily               daily
1759                time                time
1760                will                will
1761                come                come
1762                back                back
1763                time                time
1764               Since               Since
1765            princess            princess
1766               Olive               Olive
1767              floral              floral
1768             corners              corner
1769                full                full
1770              aromas               aroma
1771            musicfew            musicfew
1772               words                word
1773              moment              moment
1774                good                good
1775          Enchanting             Enchant
1776                will                will
1777                come                come
1778                back                back
1779                stay                stay
1780             forever             forever
1781               Thank               Thank
1782              beauty              beauty
1783              lovely              lovely
1784               staff               staff
1785                 See                 See
1786                next                next
1787                year                year
1788               Every               Every
1789             wedding                 wed
1790         anniversary         anniversary
1791                want                want
1792                stay                stay
1793                best                best
1794                spot                spot
1795            Portugal              Portug
1796           wonderful              wonder
1797               night               night
1798               spent               spent
1799              Thanks               Thank
1800               staff               staff
1801             amazing               amaze
1802       experiencesee       experiencesee
1803                soon                soon
1804           excellent               excel
1805                food                food
1806                kind                kind
1807               young               young
1808        professional          profession
1809               staff               staff
1810            paradise            paradise
1811             perfect             perfect
1812             amazing               amaze
1813                must                must
1814                 try                 try
1815               least               least
1816                life                life
1817              dinner              dinner
1818               watch               watch
1819               chefs                chef
1820             cooking                cook
1821              dishes                dish
1822           Fantastic           Fantastic
1823          experience          experience
1824              stayed                stay
1825                 Yet                 Yet
1826                room                room
1827               world               world
1828                full                full
1829              dreams               dream
1830                love                love
1831               great               great
1832             service             service
1833                nice                nice
1834               stars                star
1835           wonderful              wonder
1836               hotel               hotel
1837              lovely              lovely
1838              people              people
1839               Thank               Thank
1840                nice                nice
1841                time                time
1842               local               local
1843            products             product
1844               fresh               fresh
1845               baked                bake
1846              treats               treat
1847              cooked                cook
1848              dishes                dish
1849             Dinners              Dinner
1850              cooked                cook
1851                open                open
1852             kitchen              kitche
1853               using                 use
1854             locally             locally
1855             sourced               sourc
1856                food                food
1857           including              includ
1858                herb                herb
1859           vegetable               veget
1860              garden               garde
1861                site                site
1862            Stunning                Stun
1863               views                view
1864              Unique              Unique
1865             seaside             seaside
1866        architecture        architecture
1867               Staff               Staff
1868            friendly            friendly
1869           welcoming              welcom
1870               villa               villa
1871            included             include
1872           breakfast           breakfast
1873              stayed                stay
1874                many                many
1875               Coned                 Con
1876                Nast                Nast
1877         recommended           recommend
1878          properties            property
1879             perhaps              perhap
1880              nicest                 nic
1881              unique              unique
1882                date                date
1883          Absolutely            Absolute
1884            gorgeous            gorgeous
1885           wonderful              wonder
1886                will                will
1887              repeat              repeat
1888                sure                sure
1889              Thanks               Thank
1890            kindness                kind
1891                 big                 big
1892               thank               thank
1893             harmful                harm
1894        professional          profession
1895                 way                 way
1896            received              receiv
1897           yesterday           yesterday
1898          journalist          journalist
1899             Michael             Michael
1900             Winkler             Winkler
1901           surrender           surrender
1902               hotel               hotel
1903             concept             concept
1904            traveled             travele
1905          journalist          journalist
1906           travelled              travel
1907               world               world
1908               lived                live
1909                many                many
1910               years                year
1911             Germany             Germany
1912                also                also
1913           southwest              southw
1914                Asia                Asia
1915               Thank               Thank
1916           attention           attention
1917                nice                nice
1918                 day                 day
1919               Thank               Thank
1920               three               three
1921             magical               magic
1922                days                 day
1923              nights               night
1924                wait                wait
1925                come                come
1926                back                back
1927              Cheers               Cheer
1928           wonderful              wonder
1929          experience          experience
1930              repeat              repeat
1931                sure                sure
1932               Thank               Thank
1933            kindness                kind
1934          restaurant          restaurant
1935              little              little
1936             touches               touch
1937             perfect             perfect
1938          ecological            ecologic
1939               hotel               hotel
1940              lounge              lounge
1941            ethnical              ethnic
1942          influences           influence
1943               taste               taste
1944               quiet               quiet
1945             relaxed              relaxe
1946          atmosphere          atmosphere
1947             quickly               quick
1948                feel                feel
1949                home                home
1950              Unique              Unique
1951             moments              moment
1952              Superb              Superb
1953              Thanks               Thank
1954           Wonderful              Wonder
1955               Thank               Thank
1956                keep                keep
1957                 way                 way
