                original          NewStemmer
370                  day                 day
371                least               least
372                  one                 one
373                  day                 day
374             everyone            everyone
375                right               right
376                visit               visit
377               served                serv
378                Areas                Area
379                Seixo               Seixo
380                 Hope                Hope
381                 life                life
382               allows               allow
383                  see                 see
384                 soon                soon
385                  one                 one
386                  day                 day
387           restaurant          restaurant
388              tasting                tast
389                 menu                menu
390                takes                take
391               garden               garde
392          considering            consider
393              flavors              flavor
394                 Chef                Chef
395             Leonardo            Leonardo
396                 team                team
397              prepare             prepare
398              perfect             perfect
399          combination              combin
400          considering            consider
401                relax               relax
402             pleasure            pleasure
403               beauty              beauty
404           gastronomy          gastronomy
405            fantastic             fantast
406           atmosphere          atmosphere
407                 Cozy                Cozy
408                 cold                cold
409                feels                feel
410                 nice                nice
411               couple              couple
412                  tea                 tea
413                watch               watch
414                  sea                 sea
415               across              across
416            fireplace           fireplace
417                 Dear                Dear
418                Areas                Area
419                Seixo               Seixo
420                 team                team
421                words                word
422             describe            describe
423            wonderful              wonder
424                place               place
425            magically             magical
426            decorated               decor
427               nicest                 nic
428             customer            customer
429              service             service
430                guess               guess
431                 dare                dare
432                  say                 say
433           familytype          familytype
434              service             service
435                since               since
436             welcomed             welcome
437              greatly               great
438             possible            possible
439                 warm                warm
440              elegant                eleg
441                style               style
442              company             company
443                sound               sound
444                  sea                 sea
445                 fire                fire
446            fireplace           fireplace
447              Special             Special
448            beautiful              beauty
449              moments              moment
450                total               total
451                 rest                rest
452                 hope                hope
453              project             project
454                 team                team
455             continue            continue
456                 grow                grow
457              keeping                keep
458               warmth              warmth
459             boutique            boutique
460             charming               charm
461                hotel               hotel
462                offer               offer
463                dream               dream
464                found               found
465                dream               dream
466                Thank               Thank
467                 much                much
468            memorable               memor
469                 stay                stay
470               please              please
471               accept              accept
472              sincere             sincere
473            greetings               greet
474                since               since
475          hospitality            hospital
476                 dcor                dcor
477                  One                 One
478                place               place
479                 come                come
480                 back                back
481             remember            remember
482                 good                good
483               repeat              repeat
484                  one                 one
485                  day                 day
486                 sure                sure
487                 also                also
488            recommend           recommend
489            fantastic             fantast
490                 view                view
491           atmosphere          atmosphere
492               lovely              lovely
493              service             service
494                great               great
495                 food                food
496            Brilliant           Brilliant
497                 room                room
498                   go                  go
499             changing               chang
500                hotel               hotel
501                whole               whole
502            fantastic             fantast
503           experience          experience
504            Beautiful              Beauty
505         architecture        architecture
506             interior            interior
507                 dcor                dcor
508           absolutely            absolute
509          fascinating              fascin
510                 full                full
511               little              little
512              details              detail
513             standing               stand
514           difference              differ
515                staff               staff
516            extremely             extreme
517                 nice                nice
518            excellent               excel
519               skills               skill
520               guests               guest
521        communication              commun
522               police              police
523                 nice                nice
524             discrete            discrete
525               doubts               doubt
526           experience          experience
527           repeatLast          repeatLast
528                 note                note
529                loved                love
530               cinema              cinema
531                 room                room
532            Excellent           Excellent
533                 film                film
534            selection              select
535            excellent               excel
536                 idea                idea
537                  One                 One
538                think               think
539                 good                good
540           restaurant          restaurant
541                 took                took
542                 long                long
543                order               order
544               arrive              arrive
545             employee            employee
546                 come                come
547            apologize           apologize
548           constantly            constant
549             monkfish            monkfish
550                 come                come
551              already             already
552                 cold                cold
553         qualityprice        qualityprice
554             relation              relate
555                  bit                 bit
556           unbalanced            unbalanc
557             Starting               Start
558                 best                best
559                parts                part
560                noise               noise
561               Jasmin              Jasmin
562                 room                room
563                 fire                fire
564                place               place
565                night               night
566               making                 mak
567               noises               noise
568               making                 mak
569                 hard                hard
570                sleep               sleep
571                  put                 put
572              pillows              pillow
573                avoid               avoid
574                sound               sound
575                 took                took
576              several               sever
577                house               house
578                 fall                fall
579               asleep              asleep
580                 rest                rest
581             properly              proper
582                slept               slept
583                hours                hour
584                 wind                wind
585                noise               noise
586                   go                  go
587                 away                away
588                awake               awake
589            employees            employee
590            breakfast           breakfast
591                 next                next
592                 room                room
593                 view                view
594             playlist            playlist
595             kindness                kind
596           exceptions              except
597                 will                will
598                 come                come
599                 back                back
600                 sure                sure
601                doors                door
602              isolate                isol
603                sound               sound
604                heard               heard
605            employees            employee
606              whisper             whisper
607                 next                next
608                 time                time
609             consider            consider
610                 make                make
611          reservation              reserv
612                 will                will
613               demand              demand
614                quiet               quiet
615                 room                room
616                shame               shome
617                 room                room
618             gorgeous            gorgeous
619               ground              ground
620                 food                food
621                 wait                wait
622               return              return
623           restaurant          restaurant
624            excellent               excel
625                 nice                nice
626                 food                food
627            Beautiful              Beauty
628             romantic            romantic
629                niceA               niceA
630                 nice                nice
631           experience          experience
632               highly                high
633          recommended           recommend
634                staff               staff
635                 nice                nice
636                 room                room
637                 Neha                Neha
638             Crotchet            Crotchet
639            wonderful              wonder
640            fireplace           fireplace
641                 warm                warm
642              coldest                cold
643               nights               night
644                 went                went
645              January             January
646                 Cozy                Cozy
647                 nice                nice
648                 dcor                dcor
649               repeat              repeat
650            excellent               excel
651              service             service
652                great               great
653           experience          experience
654                 cozy                cozy
655             familiar            familiar
656              service             service
657               chosen               chose
658             playlist            playlist
659                doubt               doubt
660           experience          experience
661               repeat              repeat
662            Greetings               Greet
663                 long                long
664                 wait                wait
665          reservation              reserv
666                 done                done
667                 back                back
668            September           September
669               better              better
670           experience          experience
671                  lye                 lye
672               moment              moment
673               walked                walk
674                  lye                 lye
675               moment              moment
676                 left                left
677             remember            remember
678                  joy                 joy
679               smiles               smile
680             serenity            serenity
681               beauty              beauty
682            beautiful              beauty
683         architecture        architecture
684            beautiful              beauty
685           landscapes           landscape
686                 good                good
687                taste               taste
688            wonderful              wonder
689            different              differ
690              flavors              flavor
691                 Chef                Chef
692              kitchen              kitche
693               simply                simp
694                magic               magic
695             Everyone            Everyone
696                right               right
697                  one                 one
698                  day                 day
699               served                serv
700                Areas                Area
701                Seixo               Seixo
702              general               gener
703                 good                good
704               worthy              worthy
705                hotel               hotel
706         surroundings            surround
707                price               price
708                  one                 one
709                night               night
710                 high                high
711              opinion             opinion
712                 fair                fair
713                value               value
714             consider            consider
715               nights               night
716             consider            consider
717               repeat              repeat
718           experience          experience
719               prices               price
720                 fall                fall
721              Besides              Beside
722                 fact                fact
723                 find                find
724           weaknesses               weake
725              Enjoyed               Enjoy
726         particularly          particular
727               dinner              dinner
728                Great               Great
729                 chef                chef
730             grateful               grate
731                 stay                stay
732               proved               prove
733                value               value
734                  spa                 spa
735                 dcor                dcor
736                  see                 see
737              quality             quality
738                every               every
739                  day                 day
740                 will                will
741                 come                come
742                 back                back
743                 soon                soon
744                enjoy               enjoy
745                 even                 eve
746               better              better
747                 wife                wife
748                 want                want
749                thank               thank
750                  way                 way
751                treat               treat
752         professional          profession
753                 work                work
754             kindness                kind
755                 also                also
756            authentic           authentic
757                  way                 way
758                 take                take
759                 time                time
760                great               great
761            wonderful              wonder
762                place               place
763                built               built
764             boldness                bold
765               really              really
766                  top                 top
767            different              differ
768              quality             quality
769            addressed              addres
770                every               every
771             corneras             cornera
772              opinion             opinion
773          Tripadvisor         Tripadvisor
774                  one                 one
775                  day                 day
776                least               least
777                  one                 one
778                  day                 day
779             everyone            everyone
780                right               right
781                visit               visit
782               served                serv
783                Areas                Area
784                Seixo               Seixo
785                 Hope                Hope
786                 life                life
787               allows               allow
788                  see                 see
789                 soon                soon
790                  one                 one
791                  day                 day
792                since               since
793                bread               bread
794                 dcor                dcor
795                think               think
